Task_Duration_Days,Labor_Required,Equipment_Units,Material_Cost_USD,Start_Constraint,Risk_Level,Resource_Constraint_Score,Site_Constraint_Score,Dependency_Count,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,Delay_Days
3,17,7,25745.74,17,2,0.86,0.67,4,53.9,27.946666666666665,23.273333333333333,25.183333333333334,32.056666666666665,26.423333333333336,28.69,15.520999999999999,3.066666666666667,3.066666666666667,0.0,5.566666666666666,12.430000000000001,30.836666666666666,36.06666666666667,3.293,20.474738702977948
22,7,6,51985.56,22,1,0.72,0.3,2,3.1,28.92,21.466666666666665,24.973333333333336,31.66,23.02,27.233333333333334,22.385333333333335,0.006666666666666667,0.006666666666666667,0.0,0.06666666666666667,14.120000000000001,31.016666666666666,38.13333333333333,4.736999999999999,7.476276740682384
53,8,8,54019.83,14,1,0.98,0.36,2,6.0,29.163333333333334,22.779999999999998,25.636666666666667,32.87,25.456666666666667,28.433333333333334,21.76066666666667,0.05,0.05,0.0,0.23333333333333334,14.883333333333333,31.34333333333333,45.7,4.713666666666667,5.050079633013303
2,3,8,36331.71,0,1,0.77,0.37,1,9.933333333333334,28.84,22.483333333333334,25.506666666666668,32.15,24.89333333333333,28.2,19.875,0.05,0.05,0.0,0.26666666666666666,15.586666666666666,33.75,44.266666666666666,4.4093333333333335,5.45262325123045
88,2,6,36025.13,20,0,0.94,0.12,3,5.566666666666666,29.123333333333335,21.916666666666668,25.313333333333333,32.1,24.029999999999998,27.490000000000002,21.885666666666665,0.15,0.15,0.0,0.7,16.486666666666668,34.14666666666667,42.666666666666664,4.899,0.896568706138541
30,15,3,83027.0,24,0,0.61,0.37,0,9.066666666666666,29.613333333333333,22.453333333333333,25.956666666666667,33.31666666666667,25.69333333333333,29.25,20.462333333333333,0.05,0.05,0.0,0.36666666666666664,11.733333333333333,27.533333333333335,38.833333333333336,4.350666666666667,3.0207533194983633
38,5,3,79139.99,6,1,0.29,0.74,0,23.533333333333335,28.206666666666667,21.740000000000002,25.15666666666667,31.94333333333333,24.066666666666666,27.883333333333333,18.336000000000002,1.1700000000000002,1.1700000000000002,0.0,1.3333333333333333,14.1,27.986666666666668,92.8,4.055000000000001,15.191370998892909
2,1,1,31471.79,22,2,0.62,0.82,4,3.1,28.92,21.466666666666665,24.973333333333336,31.66,23.02,27.233333333333334,22.385333333333335,0.006666666666666667,0.006666666666666667,0.0,0.06666666666666667,14.120000000000001,31.016666666666666,38.13333333333333,4.736999999999999,15.491297220051516
64,4,7,91465.06,26,0,0.3,0.51,4,39.1,30.076666666666664,23.236666666666668,26.336666666666666,34.57333333333334,26.676666666666666,30.05666666666667,19.670666666666666,0.9966666666666666,0.9966666666666666,0.0,3.7666666666666666,13.75,31.466666666666665,43.3,4.147,5.994877781330397
60,15,5,95328.69,12,1,0.67,0.46,1,56.333333333333336,28.956666666666667,23.14,25.56,35.406666666666666,27.62,30.503333333333334,18.640666666666668,2.9433333333333334,2.9433333333333334,0.0,7.466666666666667,8.383333333333333,23.90666666666667,115.3,3.710666666666667,17.105139820048997
21,19,4,33347.51,11,0,0.59,0.12,2,59.93333333333333,28.80666666666667,22.923333333333336,25.496666666666666,35.016666666666666,27.523333333333333,30.466666666666665,19.56833333333333,5.35,5.35,0.0,7.166666666666667,9.033333333333333,22.42666666666667,32.53333333333333,3.852333333333333,11.801335549270195
33,3,4,36088.07,17,1,0.7,0.8,0,53.9,27.946666666666665,23.273333333333333,25.183333333333334,32.056666666666665,26.423333333333336,28.69,15.520999999999999,3.066666666666667,3.066666666666667,0.0,5.566666666666666,12.430000000000001,30.836666666666666,36.06666666666667,3.293,19.33462564036522
76,11,4,51057.78,23,0,0.21,0.11,1,14.066666666666666,28.873333333333335,21.959999999999997,25.516666666666666,32.5,24.633333333333333,28.56,19.76833333333333,0.14666666666666667,0.14666666666666667,0.0,0.8333333333333334,9.656666666666666,23.10666666666667,104.53333333333333,4.1690000000000005,0.0
58,17,6,94170.96,18,2,0.36,0.86,4,47.2,29.173333333333332,22.970000000000002,25.62,33.92666666666666,25.826666666666664,29.123333333333335,19.062333333333335,2.3333333333333335,2.3333333333333335,0.0,2.8333333333333335,13.379999999999999,31.2,43.46666666666667,4.036,21.170092579878894
22,13,8,87755.62,14,0,0.59,0.49,4,6.0,29.163333333333334,22.779999999999998,25.636666666666667,32.87,25.456666666666667,28.433333333333334,21.76066666666667,0.05,0.05,0.0,0.23333333333333334,14.883333333333333,31.34333333333333,45.7,4.713666666666667,6.1463838845647984
89,11,8,11154.23,7,2,0.96,0.37,0,51.733333333333334,27.433333333333334,22.92,24.993333333333332,31.34,25.946666666666665,28.846666666666668,12.513,5.489999999999999,5.489999999999999,0.0,6.7,13.476666666666667,25.9,78.1,2.6566666666666667,20.69350963386654
49,2,5,39880.34,18,1,0.51,0.84,4,47.2,29.173333333333332,22.970000000000002,25.62,33.92666666666666,25.826666666666664,29.123333333333335,19.062333333333335,2.3333333333333335,2.3333333333333335,0.0,2.8333333333333335,13.379999999999999,31.2,43.46666666666667,4.036,18.810213694185176
59,9,6,55783.75,9,0,0.54,0.12,4,44.233333333333334,29.076666666666664,22.41,25.60666666666667,34.63666666666666,26.59,30.316666666666666,19.968999999999998,1.12,1.12,0.0,2.466666666666667,8.346666666666668,21.183333333333334,82.76666666666667,3.96,2.7790419651217926
42,2,4,50810.11,6,1,0.77,0.57,3,23.533333333333335,28.206666666666667,21.740000000000002,25.15666666666667,31.94333333333333,24.066666666666666,27.883333333333333,18.336000000000002,1.1700000000000002,1.1700000000000002,0.0,1.3333333333333333,14.1,27.986666666666668,92.8,4.055000000000001,12.242459375310084
60,9,9,20192.44,17,1,0.68,0.54,2,53.9,27.946666666666665,23.273333333333333,25.183333333333334,32.056666666666665,26.423333333333336,28.69,15.520999999999999,3.066666666666667,3.066666666666667,0.0,5.566666666666666,12.430000000000001,30.836666666666666,36.06666666666667,3.293,15.210773414989237
80,9,8,86022.86,15,2,0.44,0.28,4,52.266666666666666,29.14,23.133333333333333,25.6,33.346666666666664,25.706666666666667,29.06,18.88133333333333,2.17,2.17,0.0,5.066666666666666,15.993333333333334,36.37,36.6,3.9153333333333338,17.478417276763405
15,8,1,68017.14,19,2,0.53,0.44,3,5.866666666666666,29.353333333333335,22.573333333333334,25.69,33.15,24.793333333333333,28.433333333333334,21.775333333333332,0.010000000000000002,0.010000000000000002,0.0,0.1,13.416666666666666,29.13,59.266666666666666,4.743333333333334,12.2797541628931
62,17,2,83952.93,26,0,0.37,0.62,1,39.1,30.076666666666664,23.236666666666668,26.336666666666666,34.57333333333334,26.676666666666666,30.05666666666667,19.670666666666666,0.9966666666666666,0.9966666666666666,0.0,3.7666666666666666,13.75,31.466666666666665,43.3,4.147,7.846766939899483
62,1,9,86017.66,5,1,0.97,0.68,4,10.066666666666666,27.833333333333332,21.18,24.46333333333333,30.046666666666667,23.053333333333335,26.186666666666667,20.332,0.07,0.07,0.0,0.43333333333333335,16.89666666666667,32.77,63.833333333333336,4.553333333333333,13.033817368154784
47,11,8,75087.23,26,2,0.3,0.1,1,39.1,30.076666666666664,23.236666666666668,26.336666666666666,34.57333333333334,26.676666666666666,30.05666666666667,19.670666666666666,0.9966666666666666,0.9966666666666666,0.0,3.7666666666666666,13.75,31.466666666666665,43.3,4.147,8.362067858376799
62,8,3,44481.85,8,2,0.5,0.85,4,56.06666666666667,28.55666666666667,22.85666666666667,25.453333333333333,34.406666666666666,26.990000000000002,30.283333333333335,17.662333333333333,3.2766666666666664,3.2766666666666664,0.0,6.733333333333333,11.053333333333335,28.49,146.4,3.4739999999999998,24.066628725840463
51,10,8,61444.13,20,1,0.22,0.23,0,5.566666666666666,29.123333333333335,21.916666666666668,25.313333333333333,32.1,24.029999999999998,27.490000000000002,21.885666666666665,0.15,0.15,0.0,0.7,16.486666666666668,34.14666666666667,42.666666666666664,4.899,3.6204948141803373
55,7,1,16876.18,12,1,0.38,0.29,3,56.333333333333336,28.956666666666667,23.14,25.56,35.406666666666666,27.62,30.503333333333334,18.640666666666668,2.9433333333333334,2.9433333333333334,0.0,7.466666666666667,8.383333333333333,23.90666666666667,115.3,3.710666666666667,10.874387593319021
64,3,4,67690.9,24,1,0.82,0.31,3,9.066666666666666,29.613333333333333,22.453333333333333,25.956666666666667,33.31666666666667,25.69333333333333,29.25,20.462333333333333,0.05,0.05,0.0,0.36666666666666664,11.733333333333333,27.533333333333335,38.833333333333336,4.350666666666667,7.615291853803686
3,3,3,18746.07,20,1,0.36,0.13,0,5.566666666666666,29.123333333333335,21.916666666666668,25.313333333333333,32.1,24.029999999999998,27.490000000000002,21.885666666666665,0.15,0.15,0.0,0.7,16.486666666666668,34.14666666666667,42.666666666666664,4.899,6.467699869993115
51,18,6,69701.01,25,0,0.26,0.2,2,4.433333333333334,30.363333333333333,22.87,26.34,34.72666666666667,26.243333333333332,29.9,22.631666666666668,0.060000000000000005,0.060000000000000005,0.0,0.4,10.770000000000001,25.31,61.43333333333333,4.747333333333333,2.777052421784956
7,5,7,23730.22,7,2,0.58,0.89,3,51.733333333333334,27.433333333333334,22.92,24.993333333333332,31.34,25.946666666666665,28.846666666666668,12.513,5.489999999999999,5.489999999999999,0.0,6.7,13.476666666666667,25.9,78.1,2.6566666666666667,28.486527576417636
21,12,4,12637.58,15,2,0.21,0.35,1,52.266666666666666,29.14,23.133333333333333,25.6,33.346666666666664,25.706666666666667,29.06,18.88133333333333,2.17,2.17,0.0,5.066666666666666,15.993333333333334,36.37,36.6,3.9153333333333338,15.088344456616065
73,12,7,17363.16,12,0,0.27,0.19,3,56.333333333333336,28.956666666666667,23.14,25.56,35.406666666666666,27.62,30.503333333333334,18.640666666666668,2.9433333333333334,2.9433333333333334,0.0,7.466666666666667,8.383333333333333,23.90666666666667,115.3,3.710666666666667,5.948883681115527
39,19,9,1197.22,12,1,0.85,0.19,2,56.333333333333336,28.956666666666667,23.14,25.56,35.406666666666666,27.62,30.503333333333334,18.640666666666668,2.9433333333333334,2.9433333333333334,0.0,7.466666666666667,8.383333333333333,23.90666666666667,115.3,3.710666666666667,10.586900354074604
18,6,2,72155.22,16,0,0.82,0.68,1,52.03333333333333,28.456666666666667,23.496666666666666,25.516666666666666,31.80666666666667,26.57,28.706666666666667,16.343333333333334,2.46,2.46,0.0,4.533333333333333,17.233333333333334,38.15,29.433333333333334,3.5396666666666667,12.38904184356032
4,2,3,73507.7,22,1,0.93,0.78,1,3.1,28.92,21.466666666666665,24.973333333333336,31.66,23.02,27.233333333333334,22.385333333333335,0.006666666666666667,0.006666666666666667,0.0,0.06666666666666667,14.120000000000001,31.016666666666666,38.13333333333333,4.736999999999999,14.459016672661706
89,12,5,51978.4,19,0,0.88,0.31,0,5.866666666666666,29.353333333333335,22.573333333333334,25.69,33.15,24.793333333333333,28.433333333333334,21.775333333333332,0.010000000000000002,0.010000000000000002,0.0,0.1,13.416666666666666,29.13,59.266666666666666,4.743333333333334,4.255427434352692
60,19,3,16974.92,4,1,0.75,0.12,4,6.366666666666666,27.506666666666668,21.0,24.19,30.02,22.923333333333336,26.07,22.589666666666666,0.07666666666666666,0.07666666666666666,0.0,0.4666666666666667,15.903333333333332,32.46666666666667,145.63333333333333,4.755333333333334,2.448773100289233
14,5,8,9271.88,21,0,0.24,0.28,0,5.6,29.27,21.509999999999998,25.14333333333333,31.953333333333333,23.316666666666666,27.303333333333335,23.029999999999998,0.010000000000000002,0.010000000000000002,0.0,0.1,15.493333333333334,33.36,38.833333333333336,5.002666666666667,3.866125954092193
9,12,8,2893.77,20,1,0.83,0.15,4,5.566666666666666,29.123333333333335,21.916666666666668,25.313333333333333,32.1,24.029999999999998,27.490000000000002,21.885666666666665,0.15,0.15,0.0,0.7,16.486666666666668,34.14666666666667,42.666666666666664,4.899,5.022376579375525
53,17,8,17409.07,27,1,0.88,0.18,0,31.433333333333334,30.266666666666666,23.636666666666667,26.673333333333336,33.86,26.21333333333333,29.623333333333335,20.294,0.25666666666666665,0.25666666666666665,0.0,1.5666666666666667,17.416666666666668,36.85,46.166666666666664,4.651333333333333,5.157950332874396
2,17,9,89194.7,16,2,0.84,0.45,4,52.03333333333333,28.456666666666667,23.496666666666666,25.516666666666666,31.80666666666667,26.57,28.706666666666667,16.343333333333334,2.46,2.46,0.0,4.533333333333333,17.233333333333334,38.15,29.433333333333334,3.5396666666666667,18.237514433261303
84,10,4,24912.15,27,1,0.61,0.28,3,31.433333333333334,30.266666666666666,23.636666666666667,26.673333333333336,33.86,26.21333333333333,29.623333333333335,20.294,0.25666666666666665,0.25666666666666665,0.0,1.5666666666666667,17.416666666666668,36.85,46.166666666666664,4.651333333333333,8.91983261707726
60,17,5,36072.86,8,2,0.39,0.51,1,56.06666666666667,28.55666666666667,22.85666666666667,25.453333333333333,34.406666666666666,26.990000000000002,30.283333333333335,17.662333333333333,3.2766666666666664,3.2766666666666664,0.0,6.733333333333333,11.053333333333335,28.49,146.4,3.4739999999999998,21.07025351200763
71,15,5,11429.2,1,1,0.88,0.3,4,28.0,28.723333333333336,23.116666666666667,25.486666666666668,32.17,25.87,28.69,17.647333333333332,0.36333333333333334,0.36333333333333334,0.0,1.9333333333333333,15.229999999999999,31.986666666666668,63.63333333333333,3.8056666666666668,6.567840381832708
44,12,8,23013.77,24,2,0.78,0.85,3,9.066666666666666,29.613333333333333,22.453333333333333,25.956666666666667,33.31666666666667,25.69333333333333,29.25,20.462333333333333,0.05,0.05,0.0,0.36666666666666664,11.733333333333333,27.533333333333335,38.833333333333336,4.350666666666667,16.836181436223175
8,16,7,52403.23,25,1,0.98,0.82,2,4.433333333333334,30.363333333333333,22.87,26.34,34.72666666666667,26.243333333333332,29.9,22.631666666666668,0.060000000000000005,0.060000000000000005,0.0,0.4,10.770000000000001,25.31,61.43333333333333,4.747333333333333,13.956895147105346
47,19,9,61167.52,17,1,0.32,0.55,0,53.9,27.946666666666665,23.273333333333333,25.183333333333334,32.056666666666665,26.423333333333336,28.69,15.520999999999999,3.066666666666667,3.066666666666667,0.0,5.566666666666666,12.430000000000001,30.836666666666666,36.06666666666667,3.293,17.696651024016873
35,8,8,25289.88,8,1,0.38,0.38,2,56.06666666666667,28.55666666666667,22.85666666666667,25.453333333333333,34.406666666666666,26.990000000000002,30.283333333333335,17.662333333333333,3.2766666666666664,3.2766666666666664,0.0,6.733333333333333,11.053333333333335,28.49,146.4,3.4739999999999998,13.894571976565398
78,17,2,6715.48,5,1,0.37,0.4,3,10.066666666666666,27.833333333333332,21.18,24.46333333333333,30.046666666666667,23.053333333333335,26.186666666666667,20.332,0.07,0.07,0.0,0.43333333333333335,16.89666666666667,32.77,63.833333333333336,4.553333333333333,8.161511535004276
81,5,4,39712.25,10,1,0.83,0.43,2,39.7,28.83,22.253333333333334,25.67,34.913333333333334,26.383333333333333,30.616666666666667,20.032666666666668,0.5633333333333332,0.5633333333333332,0.0,3.1,7.319999999999999,18.490000000000002,163.93333333333334,3.975333333333333,8.127164205657625
36,16,6,24186.13,24,1,0.35,0.68,2,9.066666666666666,29.613333333333333,22.453333333333333,25.956666666666667,33.31666666666667,25.69333333333333,29.25,20.462333333333333,0.05,0.05,0.0,0.36666666666666664,11.733333333333333,27.533333333333335,38.833333333333336,4.350666666666667,9.965690063878993
50,6,2,22735.84,28,1,0.25,0.46,3,17.566666666666666,30.466666666666665,23.623333333333335,26.623333333333335,33.553333333333335,25.996666666666666,29.15,19.854333333333333,0.5366666666666667,0.5366666666666667,0.0,1.8666666666666667,17.546666666666667,38.43666666666666,34.166666666666664,4.806333333333333,11.31212206692463
4,8,7,96026.42,5,1,1.0,0.79,1,10.066666666666666,27.833333333333332,21.18,24.46333333333333,30.046666666666667,23.053333333333335,26.186666666666667,20.332,0.07,0.07,0.0,0.43333333333333335,16.89666666666667,32.77,63.833333333333336,4.553333333333333,15.154360042856236
2,18,3,62013.75,5,2,0.22,0.86,4,10.066666666666666,27.833333333333332,21.18,24.46333333333333,30.046666666666667,23.053333333333335,26.186666666666667,20.332,0.07,0.07,0.0,0.43333333333333335,16.89666666666667,32.77,63.833333333333336,4.553333333333333,17.3519848176295
6,12,3,56130.97,12,0,0.87,0.37,0,56.333333333333336,28.956666666666667,23.14,25.56,35.406666666666666,27.62,30.503333333333334,18.640666666666668,2.9433333333333334,2.9433333333333334,0.0,7.466666666666667,8.383333333333333,23.90666666666667,115.3,3.710666666666667,11.831966013504703
54,15,2,42161.74,10,1,0.49,0.55,4,39.7,28.83,22.253333333333334,25.67,34.913333333333334,26.383333333333333,30.616666666666667,20.032666666666668,0.5633333333333332,0.5633333333333332,0.0,3.1,7.319999999999999,18.490000000000002,163.93333333333334,3.975333333333333,11.769120704238118
4,9,8,43465.49,13,2,0.87,0.18,0,53.06666666666667,29.246666666666666,22.82,25.64,34.93333333333333,26.636666666666667,30.086666666666666,19.803,2.06,2.06,0.0,2.966666666666667,12.696666666666665,30.290000000000003,71.5,3.99,12.312320368092315
54,13,6,54549.6,1,2,0.64,0.26,4,28.0,28.723333333333336,23.116666666666667,25.486666666666668,32.17,25.87,28.69,17.647333333333332,0.36333333333333334,0.36333333333333334,0.0,1.9333333333333333,15.229999999999999,31.986666666666668,63.63333333333333,3.8056666666666668,11.388760074929289
63,15,1,69946.55,7,1,0.92,0.43,2,51.733333333333334,27.433333333333334,22.92,24.993333333333332,31.34,25.946666666666665,28.846666666666668,12.513,5.489999999999999,5.489999999999999,0.0,6.7,13.476666666666667,25.9,78.1,2.6566666666666667,21.947054849698954
18,10,1,70512.46,2,2,0.94,0.26,1,51.13333333333333,28.14,22.793333333333333,25.113333333333333,32.153333333333336,25.793333333333333,28.5,16.794333333333334,0.9433333333333334,0.9433333333333334,0.0,4.433333333333334,14.323333333333332,30.470000000000002,44.43333333333333,3.5106666666666664,11.95292760800174
44,16,7,17997.7,22,1,0.21,0.8,2,3.1,28.92,21.466666666666665,24.973333333333336,31.66,23.02,27.233333333333334,22.385333333333335,0.006666666666666667,0.006666666666666667,0.0,0.06666666666666667,14.120000000000001,31.016666666666666,38.13333333333333,4.736999999999999,15.460298817054344
34,7,8,50511.16,20,2,0.26,0.23,1,5.566666666666666,29.123333333333335,21.916666666666668,25.313333333333333,32.1,24.029999999999998,27.490000000000002,21.885666666666665,0.15,0.15,0.0,0.7,16.486666666666668,34.14666666666667,42.666666666666664,4.899,6.130382343865384
74,17,5,41783.85,2,1,0.4,0.46,3,51.13333333333333,28.14,22.793333333333333,25.113333333333333,32.153333333333336,25.793333333333333,28.5,16.794333333333334,0.9433333333333334,0.9433333333333334,0.0,4.433333333333334,14.323333333333332,30.470000000000002,44.43333333333333,3.5106666666666664,12.139520423229502
62,7,5,87182.17,0,2,0.74,0.58,0,9.933333333333334,28.84,22.483333333333334,25.506666666666668,32.15,24.89333333333333,28.2,19.875,0.05,0.05,0.0,0.26666666666666666,15.586666666666666,33.75,44.266666666666666,4.4093333333333335,14.190570602357255
14,14,4,63510.47,23,2,0.91,0.65,0,14.066666666666666,28.873333333333335,21.959999999999997,25.516666666666666,32.5,24.633333333333333,28.56,19.76833333333333,0.14666666666666667,0.14666666666666667,0.0,0.8333333333333334,9.656666666666666,23.10666666666667,104.53333333333333,4.1690000000000005,14.644822307634533
48,15,6,53717.9,18,1,0.57,0.41,3,47.2,29.173333333333332,22.970000000000002,25.62,33.92666666666666,25.826666666666664,29.123333333333335,19.062333333333335,2.3333333333333335,2.3333333333333335,0.0,2.8333333333333335,13.379999999999999,31.2,43.46666666666667,4.036,13.224307831469922
15,7,6,12424.07,17,1,0.69,0.8,4,53.9,27.946666666666665,23.273333333333333,25.183333333333334,32.056666666666665,26.423333333333336,28.69,15.520999999999999,3.066666666666667,3.066666666666667,0.0,5.566666666666666,12.430000000000001,30.836666666666666,36.06666666666667,3.293,16.251979961431996
72,9,3,60958.15,16,0,0.35,0.55,3,52.03333333333333,28.456666666666667,23.496666666666666,25.516666666666666,31.80666666666667,26.57,28.706666666666667,16.343333333333334,2.46,2.46,0.0,4.533333333333333,17.233333333333334,38.15,29.433333333333334,3.5396666666666667,11.19049216824373
78,19,9,12603.19,19,1,0.84,0.45,3,5.866666666666666,29.353333333333335,22.573333333333334,25.69,33.15,24.793333333333333,28.433333333333334,21.775333333333332,0.010000000000000002,0.010000000000000002,0.0,0.1,13.416666666666666,29.13,59.266666666666666,4.743333333333334,9.45566885726762
87,16,7,34383.45,28,2,0.97,0.15,1,17.566666666666666,30.466666666666665,23.623333333333335,26.623333333333335,33.553333333333335,25.996666666666666,29.15,19.854333333333333,0.5366666666666667,0.5366666666666667,0.0,1.8666666666666667,17.546666666666667,38.43666666666666,34.166666666666664,4.806333333333333,12.090174400445608
62,8,1,15141.35,23,0,0.41,0.47,3,14.066666666666666,28.873333333333335,21.959999999999997,25.516666666666666,32.5,24.633333333333333,28.56,19.76833333333333,0.14666666666666667,0.14666666666666667,0.0,0.8333333333333334,9.656666666666666,23.10666666666667,104.53333333333333,4.1690000000000005,5.155928005922862
40,18,7,69515.29,12,2,0.6,0.76,0,56.333333333333336,28.956666666666667,23.14,25.56,35.406666666666666,27.62,30.503333333333334,18.640666666666668,2.9433333333333334,2.9433333333333334,0.0,7.466666666666667,8.383333333333333,23.90666666666667,115.3,3.710666666666667,20.793926262326885
85,18,5,21418.96,2,2,0.27,0.59,2,51.13333333333333,28.14,22.793333333333333,25.113333333333333,32.153333333333336,25.793333333333333,28.5,16.794333333333334,0.9433333333333334,0.9433333333333334,0.0,4.433333333333334,14.323333333333332,30.470000000000002,44.43333333333333,3.5106666666666664,15.214031101289862
80,7,5,39794.08,29,2,0.65,0.77,1,58.166666666666664,27.976666666666667,22.543333333333333,24.973333333333336,30.52,25.103333333333335,27.55666666666667,11.023666666666665,26.796666666666667,26.796666666666667,0.0,9.733333333333333,16.936666666666664,38.629999999999995,42.4,2.8523333333333336,71.20643650988644
82,3,2,89671.8,0,0,0.6,0.5,1,9.933333333333334,28.84,22.483333333333334,25.506666666666668,32.15,24.89333333333333,28.2,19.875,0.05,0.05,0.0,0.26666666666666666,15.586666666666666,33.75,44.266666666666666,4.4093333333333335,6.593126664489526
53,18,4,21227.32,3,1,0.32,0.19,4,16.133333333333333,27.81,21.666666666666668,24.716666666666665,30.85,23.65666666666667,27.313333333333333,16.785666666666668,0.45666666666666667,0.45666666666666667,0.0,1.2666666666666666,14.893333333333334,32.52333333333333,167.1,3.701333333333333,5.898693027682775
24,10,6,51272.7,24,1,0.55,0.11,2,9.066666666666666,29.613333333333333,22.453333333333333,25.956666666666667,33.31666666666667,25.69333333333333,29.25,20.462333333333333,0.05,0.05,0.0,0.36666666666666664,11.733333333333333,27.533333333333335,38.833333333333336,4.350666666666667,5.689901149670034
26,7,7,42507.89,12,1,0.47,0.34,1,56.333333333333336,28.956666666666667,23.14,25.56,35.406666666666666,27.62,30.503333333333334,18.640666666666668,2.9433333333333334,2.9433333333333334,0.0,7.466666666666667,8.383333333333333,23.90666666666667,115.3,3.710666666666667,13.612282990688728
89,17,5,2794.28,16,0,0.62,0.66,3,52.03333333333333,28.456666666666667,23.496666666666666,25.516666666666666,31.80666666666667,26.57,28.706666666666667,16.343333333333334,2.46,2.46,0.0,4.533333333333333,17.233333333333334,38.15,29.433333333333334,3.5396666666666667,14.292967485799334
60,14,9,79483.05,27,2,0.67,0.73,1,31.433333333333334,30.266666666666666,23.636666666666667,26.673333333333336,33.86,26.21333333333333,29.623333333333335,20.294,0.25666666666666665,0.25666666666666665,0.0,1.5666666666666667,17.416666666666668,36.85,46.166666666666664,4.651333333333333,15.220253692517305
41,3,3,7835.54,29,1,0.21,0.34,1,58.166666666666664,27.976666666666667,22.543333333333333,24.973333333333336,30.52,25.103333333333335,27.55666666666667,11.023666666666665,26.796666666666667,26.796666666666667,0.0,9.733333333333333,16.936666666666664,38.629999999999995,42.4,2.8523333333333336,60.68184011343668
